instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
1,2012-12-11,4,1,12,0,0,2,1,3,0.46,0.4545,0.77,0.4627,2,29
2,2012-12-11,4,1,12,1,0,2,1,1,0.42,0.4242,0.71,0.4478,1,7
3,2012-12-11,4,1,12,2,0,2,1,2,0.4,0.4091,0.66,0.3284,0,1
4,2012-12-11,4,1,12,3,0,2,1,3,0.36,0.3333,0.76,0.2836,0,3
5,2012-12-11,4,1,12,4,0,2,1,2,0.34,0.3182,0.76,0.2836,0,8
6,2012-12-11,4,1,12,5,0,2,1,3,0.34,0.303,0.71,0.3284,1,40
7,2012-12-11,4,1,12,6,0,2,1,2,0.34,0.303,0.71,0.2985,0,118
8,2012-12-11,4,1,12,7,0,2,1,1,0.34,0.303,0.66,0.4179,8,372
9,2012-12-11,4,1,12,8,0,2,1,2,0.34,0.303,0.61,0.2985,16,708
10,2012-12-11,4,1,12,9,0,2,1,1,0.34,0.303,0.61,0.3881,12,322
11,2012-12-11,4,1,12,10,0,2,1,1,0.36,0.3333,0.57,0.3284,12,142
12,2012-12-11,4,1,12,11,0,2,1,2,0.36,0.3333,0.53,0.3582,28,145
13,2012-12-11,4,1,12,12,0,2,1,2,0.36,0.3182,0.53,0.4478,13,213
14,2012-12-11,4,1,12,13,0,2,1,2,0.38,0.3939,0.5,0.2239,28,226
15,2012-12-11,4,1,12,14,0,2,1,2,0.38,0.3939,0.5,0.2239,19,185
16,2012-12-11,4,1,12,15,0,2,1,2,0.38,0.3939,0.5,0.2239,20,250
17,2012-12-11,4,1,12,16,0,2,1,2,0.38,0.3939,0.5,0.2239,24,334
18,2012-12-11,4,1,12,17,0,2,1,1,0.32,0.303,0.53,0.2239,21,580
19,2012-12-11,4,1,12,18,0,2,1,1,0.32,0.303,0.53,0.2239,23,523
20,2012-12-11,4,1,12,19,0,2,1,1,0.32,0.303,0.53,0.2239,21,412
21,2012-12-11,4,1,12,20,0,2,1,1,0.32,0.303,0.53,0.2239,9,248
22,2012-12-11,4,1,12,21,0,2,1,1,0.32,0.3182,0.53,0.194,14,193
23,2012-12-11,4,1,12,22,0,2,1,1,0.3,0.2879,0.56,0.2239,6,100
24,2012-12-11,4,1,12,23,0,2,1,1,0.3,0.2879,0.52,0.2239,4,60
25,2012-12-12,4,1,12,0,0,3,1,1,0.3,0.303,0.52,0.1642,1,33
26,2012-12-12,4,1,12,1,0,3,1,1,0.28,0.2727,0.61,0.2239,3,18
27,2012-12-12,4,1,12,2,0,3,1,1,0.28,0.2727,0.56,0.1642,5,4
28,2012-12-12,4,1,12,3,0,3,1,1,0.26,0.2727,0.6,0.1343,3,7
29,2012-12-12,4,1,12,4,0,3,1,1,0.26,0.303,0.6,0,0,4
30,2012-12-12,4,1,12,5,0,3,1,1,0.26,0.2576,0.6,0.194,0,37
31,2012-12-12,4,1,12,6,0,3,1,2,0.26,0.2424,0.6,0.2537,2,126
32,2012-12-12,4,1,12,7,0,3,1,2,0.26,0.2576,0.6,0.194,3,366
33,2012-12-12,4,1,12,8,0,3,1,2,0.26,0.2576,0.65,0.1642,18,670
34,2012-12-12,4,1,12,9,0,3,1,2,0.28,0.2879,0.61,0.1343,13,272
35,2012-12-12,4,1,12,10,0,3,1,2,0.3,0.303,0.56,0.1642,20,116
36,2012-12-12,4,1,12,11,0,3,1,2,0.32,0.303,0.49,0.2239,24,148
37,2012-12-12,4,1,12,12,0,3,1,2,0.34,0.3636,0.42,0,14,218
38,2012-12-12,4,1,12,13,0,3,1,2,0.34,0.3636,0.42,0,18,220
39,2012-12-12,4,1,12,14,0,3,1,2,0.34,0.3636,0.46,0,34,191
40,2012-12-12,4,1,12,15,0,3,1,2,0.34,0.3485,0.46,0.1045,21,207
41,2012-12-12,4,1,12,16,0,3,1,2,0.34,0.3333,0.46,0.1343,19,310
42,2012-12-12,4,1,12,17,0,3,1,2,0.32,0.303,0.53,0.2239,21,540
43,2012-12-12,4,1,12,18,0,3,1,2,0.32,0.303,0.49,0.2239,25,515
44,2012-12-12,4,1,12,19,0,3,1,2,0.3,0.2879,0.56,0.2239,18,384
45,2012-12-12,4,1,12,20,0,3,1,1,0.3,0.2879,0.52,0.2836,25,243
46,2012-12-12,4,1,12,21,0,3,1,2,0.3,0.2879,0.52,0.2537,16,186
47,2012-12-12,4,1,12,22,0,3,1,2,0.3,0.2879,0.52,0.2239,4,118
48,2012-12-12,4,1,12,23,0,3,1,2,0.28,0.2727,0.56,0.2239,3,76
49,2012-12-13,4,1,12,0,0,4,1,2,0.28,0.2727,0.52,0.2239,1,31
50,2012-12-13,4,1,12,1,0,4,1,2,0.28,0.2576,0.52,0.2836,4,19
51,2012-12-13,4,1,12,2,0,4,1,2,0.26,0.2424,0.56,0.2537,3,5
52,2012-12-13,4,1,12,3,0,4,1,2,0.26,0.2424,0.56,0.2836,0,2
53,2012-12-13,4,1,12,4,0,4,1,2,0.26,0.2576,0.56,0.194,0,8
54,2012-12-13,4,1,12,5,0,4,1,2,0.26,0.2576,0.56,0.1642,2,31
55,2012-12-13,4,1,12,6,0,4,1,1,0.26,0.2424,0.56,0.2537,2,112
56,2012-12-13,4,1,12,7,0,4,1,1,0.24,0.2273,0.6,0.2239,5,380
57,2012-12-13,4,1,12,8,0,4,1,1,0.24,0.2273,0.6,0.194,24,655
58,2012-12-13,4,1,12,9,0,4,1,1,0.28,0.2727,0.52,0.2537,25,300
59,2012-12-13,4,1,12,10,0,4,1,1,0.32,0.303,0.45,0.2836,28,139
60,2012-12-13,4,1,12,11,0,4,1,1,0.34,0.3182,0.42,0.2537,25,164
61,2012-12-13,4,1,12,12,0,4,1,1,0.36,0.3333,0.4,0.2537,30,252
62,2012-12-13,4,1,12,13,0,4,1,1,0.36,0.3485,0.34,0.194,41,230
63,2012-12-13,4,1,12,14,0,4,1,1,0.36,0.3485,0.34,0.1642,31,211
64,2012-12-13,4,1,12,15,0,4,1,1,0.36,0.3485,0.34,0.1343,40,240
65,2012-12-13,4,1,12,16,0,4,1,1,0.34,0.3485,0.39,0.1045,50,356
66,2012-12-13,4,1,12,17,0,4,1,1,0.32,0.3333,0.42,0.1045,43,507
67,2012-12-13,4,1,12,18,0,4,1,1,0.32,0.3333,0.42,0.1045,20,446
68,2012-12-13,4,1,12,19,0,4,1,1,0.3,0.303,0.45,0.1642,20,328
69,2012-12-13,4,1,12,20,0,4,1,1,0.3,0.3333,0.45,0,6,235
70,2012-12-13,4,1,12,21,0,4,1,1,0.28,0.3182,0.48,0,13,200
71,2012-12-13,4,1,12,22,0,4,1,1,0.26,0.2879,0.6,0.0896,7,141
72,2012-12-13,4,1,12,23,0,4,1,1,0.26,0.303,0.6,0,5,115
73,2012-12-14,4,1,12,0,0,5,1,1,0.22,0.2576,0.64,0.0896,4,43
74,2012-12-14,4,1,12,1,0,5,1,1,0.22,0.2576,0.69,0.0896,0,26
75,2012-12-14,4,1,12,2,0,5,1,1,0.22,0.2727,0.69,0,3,6
76,2012-12-14,4,1,12,3,0,5,1,1,0.2,0.2273,0.69,0.1045,0,12
77,2012-12-14,4,1,12,4,0,5,1,1,0.2,0.2273,0.75,0.0896,1,9
78,2012-12-14,4,1,12,5,0,5,1,1,0.2,0.2273,0.69,0.1045,0,34
79,2012-12-14,4,1,12,6,0,5,1,1,0.16,0.1818,0.8,0.1045,1,112
80,2012-12-14,4,1,12,7,0,5,1,1,0.2,0.2121,0.72,0.1045,3,305
81,2012-12-14,4,1,12,8,0,5,1,1,0.2,0.2273,0.69,0.0896,13,623
82,2012-12-14,4,1,12,9,0,5,1,1,0.24,0.2424,0.75,0.1343,13,330
83,2012-12-14,4,1,12,10,0,5,1,1,0.26,0.2576,0.81,0.194,28,162
84,2012-12-14,4,1,12,11,0,5,1,1,0.32,0.303,0.65,0.194,31,180
85,2012-12-14,4,1,12,12,0,5,1,1,0.36,0.3485,0.5,0.194,29,244
86,2012-12-14,4,1,12,13,0,5,1,1,0.36,0.3485,0.5,0.2239,39,274
87,2012-12-14,4,1,12,14,0,5,1,1,0.4,0.4091,0.43,0.194,48,251
88,2012-12-14,4,1,12,15,0,5,1,1,0.4,0.4091,0.47,0.1642,57,252
89,2012-12-14,4,1,12,16,0,5,1,1,0.38,0.3939,0.54,0.194,45,372
90,2012-12-14,4,1,12,17,0,5,1,1,0.34,0.3333,0.57,0.1642,40,582
91,2012-12-14,4,1,12,18,0,5,1,1,0.36,0.3485,0.46,0.1343,23,432
92,2012-12-14,4,1,12,19,0,5,1,1,0.34,0.3485,0.53,0.0896,17,302
93,2012-12-14,4,1,12,20,0,5,1,1,0.32,0.3333,0.61,0.1343,12,209
94,2012-12-14,4,1,12,21,0,5,1,1,0.3,0.303,0.75,0.1642,7,165
95,2012-12-14,4,1,12,22,0,5,1,1,0.28,0.2879,0.75,0.1045,4,134
96,2012-12-14,4,1,12,23,0,5,1,1,0.28,0.303,0.75,0.0896,11,123
97,2012-12-15,4,1,12,0,0,6,0,1,0.3,0.3333,0.7,0,4,90
98,2012-12-15,4,1,12,1,0,6,0,2,0.26,0.2879,0.81,0.0896,9,86
99,2012-12-15,4,1,12,2,0,6,0,1,0.26,0.303,0.81,0,6,63
100,2012-12-15,4,1,12,3,0,6,0,2,0.24,0.2879,0.81,0,5,18
101,2012-12-15,4,1,12,4,0,6,0,2,0.24,0.2576,0.87,0.1045,1,5
102,2012-12-15,4,1,12,5,0,6,0,2,0.26,0.303,0.75,0,0,3
103,2012-12-15,4,1,12,6,0,6,0,2,0.24,0.2879,0.75,0,0,11
104,2012-12-15,4,1,12,7,0,6,0,2,0.24,0.2576,0.75,0.0896,1,47
105,2012-12-15,4,1,12,8,0,6,0,2,0.26,0.2879,0.75,0.0896,8,111
106,2012-12-15,4,1,12,9,0,6,0,1,0.26,0.2727,0.75,0.1045,17,203
107,2012-12-15,4,1,12,10,0,6,0,1,0.32,0.3182,0.61,0.1642,23,250
108,2012-12-15,4,1,12,11,0,6,0,1,0.34,0.3485,0.61,0.0896,66,327
109,2012-12-15,4,1,12,12,0,6,0,1,0.38,0.3939,0.5,0.0896,89,364
110,2012-12-15,4,1,12,13,0,6,0,1,0.38,0.3939,0.54,0.2537,88,368
111,2012-12-15,4,1,12,14,0,6,0,1,0.4,0.4091,0.5,0.1642,92,334
112,2012-12-15,4,1,12,15,0,6,0,1,0.42,0.4242,0.47,0,95,352
113,2012-12-15,4,1,12,16,0,6,0,1,0.4,0.4091,0.5,0.1343,85,328
114,2012-12-15,4,1,12,17,0,6,0,1,0.4,0.4091,0.5,0.2239,35,274
115,2012-12-15,4,1,12,18,0,6,0,1,0.38,0.3939,0.58,0.1642,40,232
116,2012-12-15,4,1,12,19,0,6,0,1,0.36,0.3485,0.62,0.1343,32,225
117,2012-12-15,4,1,12,20,0,6,0,2,0.36,0.3485,0.57,0.194,23,178
118,2012-12-15,4,1,12,21,0,6,0,1,0.36,0.3485,0.62,0.1343,15,169
119,2012-12-15,4,1,12,22,0,6,0,1,0.36,0.3485,0.62,0.194,22,134
120,2012-12-15,4,1,12,23,0,6,0,2,0.36,0.3485,0.62,0.1343,11,108
121,2012-12-16,4,1,12,0,0,0,0,2,0.36,0.3788,0.62,0,8,102
122,2012-12-16,4,1,12,1,0,0,0,3,0.34,0.3485,0.76,0.1045,14,82
123,2012-12-16,4,1,12,2,0,0,0,2,0.34,0.3485,0.87,0.0896,8,79
124,2012-12-16,4,1,12,3,0,0,0,2,0.34,0.3333,0.87,0.194,1,37
125,2012-12-16,4,1,12,4,0,0,0,2,0.34,0.3636,0.87,0,1,10
126,2012-12-16,4,1,12,5,0,0,0,2,0.34,0.3636,0.87,0,0,9
127,2012-12-16,4,1,12,6,0,0,0,2,0.34,0.3636,0.87,0,0,6
128,2012-12-16,4,1,12,7,0,0,0,2,0.34,0.3485,0.87,0.0896,5,22
129,2012-12-16,4,1,12,8,0,0,0,2,0.36,0.3485,0.87,0.1343,12,76
130,2012-12-16,4,1,12,9,0,0,0,2,0.36,0.3485,0.87,0.1343,19,113
131,2012-12-16,4,1,12,10,0,0,0,2,0.36,0.3485,0.87,0.1343,42,215
132,2012-12-16,4,1,12,11,0,0,0,2,0.36,0.3485,0.87,0.1343,47,248
133,2012-12-16,4,1,12,12,0,0,0,2,0.38,0.3939,0.82,0.194,67,350
134,2012-12-16,4,1,12,13,0,0,0,2,0.38,0.3939,0.76,0.194,67,289
135,2012-12-16,4,1,12,14,0,0,0,2,0.38,0.3939,0.76,0.1343,50,260
136,2012-12-16,4,1,12,15,0,0,0,2,0.38,0.3939,0.82,0.1045,46,292
137,2012-12-16,4,1,12,16,0,0,0,2,0.38,0.3939,0.82,0.1045,66,334
138,2012-12-16,4,1,12,17,0,0,0,2,0.38,0.3939,0.82,0.1045,29,214
139,2012-12-16,4,1,12,18,0,0,0,3,0.38,0.3939,0.82,0.1045,8,99
140,2012-12-16,4,1,12,19,0,0,0,1,0.36,0.3485,0.93,0.1343,10,99
141,2012-12-16,4,1,12,20,0,0,0,2,0.38,0.3939,0.82,0,14,108
142,2012-12-16,4,1,12,21,0,0,0,2,0.36,0.3788,0.93,0,14,92
143,2012-12-16,4,1,12,22,0,0,0,2,0.4,0.4091,0.82,0.194,6,83
144,2012-12-16,4,1,12,23,0,0,0,2,0.36,0.3485,0.93,0.1343,4,29
145,2012-12-17,4,1,12,0,0,1,1,2,0.38,0.3939,0.87,0,2,26
146,2012-12-17,4,1,12,1,0,1,1,2,0.38,0.3939,0.87,0.1045,1,14
147,2012-12-17,4,1,12,2,0,1,1,2,0.38,0.3939,0.94,0,1,4
148,2012-12-17,4,1,12,3,0,1,1,2,0.36,0.3788,0.93,0,0,3
149,2012-12-17,4,1,12,4,0,1,1,3,0.36,0.3788,1,0,2,3
150,2012-12-17,4,1,12,5,0,1,1,2,0.38,0.3939,0.87,0,0,24
151,2012-12-17,4,1,12,6,0,1,1,2,0.36,0.3485,0.93,0.1343,1,107
152,2012-12-17,4,1,12,7,0,1,1,2,0.36,0.3485,0.93,0.1343,5,314
153,2012-12-17,4,1,12,8,0,1,1,2,0.38,0.3939,0.87,0.1045,10,582
154,2012-12-17,4,1,12,9,0,1,1,2,0.4,0.4091,0.87,0,11,271
155,2012-12-17,4,1,12,10,0,1,1,2,0.38,0.3939,0.87,0.0896,15,120
156,2012-12-17,4,1,12,11,0,1,1,2,0.4,0.4091,0.87,0.0896,22,148
157,2012-12-17,4,1,12,12,0,1,1,2,0.4,0.4091,0.87,0,21,211
158,2012-12-17,4,1,12,13,0,1,1,2,0.4,0.4091,0.87,0.1343,16,194
159,2012-12-17,4,1,12,14,0,1,1,2,0.4,0.4091,0.87,0.0896,12,169
160,2012-12-17,4,1,12,15,0,1,1,2,0.42,0.4242,0.88,0,15,196
161,2012-12-17,4,1,12,16,0,1,1,3,0.4,0.4091,0.94,0.2537,15,287
162,2012-12-17,4,1,12,17,0,1,1,2,0.4,0.4091,0.94,0.2537,17,478
163,2012-12-17,4,1,12,18,0,1,1,2,0.4,0.4091,0.94,0.0896,14,493
164,2012-12-17,4,1,12,19,0,1,1,2,0.42,0.4242,0.88,0.1343,7,333
165,2012-12-17,4,1,12,20,0,1,1,2,0.42,0.4242,0.94,0.2537,8,192
166,2012-12-17,4,1,12,21,0,1,1,2,0.42,0.4242,0.94,0.1343,6,114
167,2012-12-17,4,1,12,22,0,1,1,2,0.42,0.4242,0.94,0.1343,5,49
168,2012-12-17,4,1,12,23,0,1,1,3,0.42,0.4242,0.94,0.2239,6,41
169,2012-12-18,4,1,12,0,0,2,1,2,0.44,0.4394,0.94,0.1343,0,18
170,2012-12-18,4,1,12,1,0,2,1,2,0.44,0.4394,0.94,0.1343,0,15
171,2012-12-18,4,1,12,2,0,2,1,2,0.44,0.4394,0.88,0.2239,2,5
172,2012-12-18,4,1,12,3,0,2,1,1,0.42,0.4242,0.88,0.194,0,5
173,2012-12-18,4,1,12,4,0,2,1,1,0.42,0.4242,0.82,0.1642,3,5
174,2012-12-18,4,1,12,5,0,2,1,1,0.38,0.3939,0.87,0.0896,0,36
175,2012-12-18,4,1,12,6,0,2,1,1,0.36,0.3485,0.93,0.1642,1,117
176,2012-12-18,4,1,12,7,0,2,1,1,0.36,0.3485,0.93,0.1343,4,351
177,2012-12-18,4,1,12,8,0,2,1,1,0.38,0.3939,0.94,0,10,652
178,2012-12-18,4,1,12,9,0,2,1,1,0.4,0.4091,0.87,0.0896,19,307
179,2012-12-18,4,1,12,10,0,2,1,1,0.44,0.4394,0.77,0.0896,22,162
180,2012-12-18,4,1,12,11,0,2,1,1,0.48,0.4697,0.63,0.2239,58,211
181,2012-12-18,4,1,12,12,0,2,1,3,0.48,0.4697,0.48,0.2537,49,264
182,2012-12-18,4,1,12,13,0,2,1,1,0.5,0.4848,0.42,0.2836,51,235
183,2012-12-18,4,1,12,14,0,2,1,1,0.46,0.4545,0.47,0.4478,56,191
184,2012-12-18,4,1,12,15,0,2,1,1,0.46,0.4545,0.44,0.4925,28,218
185,2012-12-18,4,1,12,16,0,2,1,1,0.44,0.4394,0.41,0.4627,40,323
186,2012-12-18,4,1,12,17,0,2,1,1,0.4,0.4091,0.47,0.4478,39,533
187,2012-12-18,4,1,12,18,0,2,1,1,0.38,0.3939,0.46,0.3284,13,512
188,2012-12-18,4,1,12,19,0,2,1,1,0.38,0.3939,0.46,0.3881,19,334
189,2012-12-18,4,1,12,20,0,2,1,1,0.36,0.3333,0.5,0.2537,4,264
190,2012-12-18,4,1,12,21,0,2,1,1,0.36,0.3485,0.5,0.2239,9,159
191,2012-12-18,4,1,12,22,0,2,1,1,0.34,0.3333,0.49,0,5,127
192,2012-12-18,4,1,12,23,0,2,1,1,0.34,0.3485,0.49,0.0896,1,80
193,2012-12-19,4,1,12,0,0,3,1,1,0.3,0.3182,0.61,0,6,35
194,2012-12-19,4,1,12,1,0,3,1,1,0.3,0.3182,0.65,0.0896,1,14
195,2012-12-19,4,1,12,2,0,3,1,1,0.28,0.303,0.65,0.0896,1,2
196,2012-12-19,4,1,12,3,0,3,1,1,0.26,0.2727,0.75,0.1343,0,5
197,2012-12-19,4,1,12,4,0,3,1,1,0.24,0.2424,0.75,0.1343,1,6
198,2012-12-19,4,1,12,5,0,3,1,1,0.26,0.2879,0.75,0.0896,2,29
199,2012-12-19,4,1,12,6,0,3,1,1,0.24,0.2576,0.75,0.0896,3,109
200,2012-12-19,4,1,12,7,0,3,1,1,0.26,0.2727,0.75,0.1343,3,360
201,2012-12-19,4,1,12,8,0,3,1,1,0.24,0.2576,0.87,0.1045,13,665
202,2012-12-19,4,1,12,9,0,3,1,1,0.28,0.2879,0.75,0.1045,8,309
203,2012-12-19,4,1,12,10,0,3,1,1,0.32,0.3333,0.7,0.1045,17,147
204,2012-12-19,4,1,12,11,0,3,1,1,0.4,0.4091,0.54,0.2239,31,169
205,2012-12-19,4,1,12,12,0,3,1,1,0.4,0.4091,0.54,0.2836,33,203
206,2012-12-19,4,1,12,13,0,3,1,1,0.42,0.4242,0.5,0.194,30,183
207,2012-12-19,4,1,12,14,0,3,1,1,0.42,0.4242,0.5,0.194,33,185
208,2012-12-19,4,1,12,15,0,3,1,1,0.42,0.4242,0.5,0.2836,28,209
209,2012-12-19,4,1,12,16,0,3,1,1,0.42,0.4242,0.5,0.3582,37,297
210,2012-12-19,4,1,12,17,0,3,1,1,0.4,0.4091,0.5,0.3881,26,536
211,2012-12-19,4,1,12,18,0,3,1,1,0.38,0.3939,0.5,0.3582,23,546
212,2012-12-19,4,1,12,19,0,3,1,1,0.38,0.3939,0.5,0.3881,7,329
213,2012-12-19,4,1,12,20,0,3,1,1,0.36,0.3485,0.57,0.2239,10,231
214,2012-12-19,4,1,12,21,0,3,1,1,0.34,0.3182,0.61,0.2239,4,164
215,2012-12-19,4,1,12,22,0,3,1,1,0.34,0.3485,0.61,0.0896,12,117
216,2012-12-19,4,1,12,23,0,3,1,1,0.32,0.3333,0.66,0.1343,4,84
217,2012-12-20,4,1,12,0,0,4,1,1,0.32,0.3333,0.61,0.1343,2,40
218,2012-12-20,4,1,12,1,0,4,1,1,0.32,0.3485,0.66,0,1,19
219,2012-12-20,4,1,12,2,0,4,1,1,0.32,0.3485,0.66,0,2,6
220,2012-12-20,4,1,12,3,0,4,1,2,0.3,0.3182,0.7,0.0896,1,3
221,2012-12-20,4,1,12,4,0,4,1,2,0.3,0.3182,0.7,0.0896,0,6
222,2012-12-20,4,1,12,5,0,4,1,2,0.3,0.3182,0.7,0.1045,0,35
223,2012-12-20,4,1,12,6,0,4,1,2,0.3,0.3333,0.65,0,4,114
224,2012-12-20,4,1,12,7,0,4,1,2,0.3,0.3333,0.7,0,4,346
225,2012-12-20,4,1,12,8,0,4,1,2,0.3,0.3333,0.7,0,14,585
226,2012-12-20,4,1,12,9,0,4,1,2,0.3,0.3333,0.7,0,14,303
227,2012-12-20,4,1,12,10,0,4,1,2,0.32,0.3333,0.66,0,23,138
228,2012-12-20,4,1,12,11,0,4,1,2,0.34,0.3182,0.57,0.2239,22,168
229,2012-12-20,4,1,12,12,0,4,1,2,0.36,0.3485,0.53,0.1642,31,181
230,2012-12-20,4,1,12,13,0,4,1,2,0.36,0.3485,0.57,0.194,46,171
231,2012-12-20,4,1,12,14,0,4,1,2,0.36,0.3485,0.53,0.194,43,171
232,2012-12-20,4,1,12,15,0,4,1,2,0.34,0.3333,0.57,0.194,33,216
233,2012-12-20,4,1,12,16,0,4,1,2,0.34,0.303,0.53,0.3284,21,281
234,2012-12-20,4,1,12,17,0,4,1,2,0.34,0.3333,0.66,0.194,25,450
235,2012-12-20,4,1,12,18,0,4,1,2,0.34,0.3333,0.71,0.194,22,359
236,2012-12-20,4,1,12,19,0,4,1,3,0.34,0.3182,0.71,0.2537,3,115
237,2012-12-20,4,1,12,20,0,4,1,3,0.34,0.3333,0.76,0.1642,1,49
238,2012-12-20,4,1,12,21,0,4,1,3,0.34,0.3333,0.76,0.1642,1,25
239,2012-12-20,4,1,12,22,0,4,1,3,0.34,0.3333,0.87,0.194,1,20
240,2012-12-20,4,1,12,23,0,4,1,3,0.4,0.4091,0.82,0.2985,0,13
241,2012-12-21,1,1,12,0,0,5,1,3,0.42,0.4242,0.88,0.2985,0,17
242,2012-12-21,1,1,12,1,0,5,1,3,0.44,0.4394,0.88,0.3881,2,7
243,2012-12-21,1,1,12,2,0,5,1,3,0.46,0.4545,0.94,0.3881,0,3
244,2012-12-21,1,1,12,3,0,5,1,3,0.46,0.4545,0.94,0.3881,0,3
245,2012-12-21,1,1,12,4,0,5,1,2,0.36,0.3182,0.71,0.4925,1,5
246,2012-12-21,1,1,12,5,0,5,1,2,0.34,0.303,0.76,0.4179,0,13
247,2012-12-21,1,1,12,6,0,5,1,2,0.34,0.2879,0.57,0.5821,4,76
248,2012-12-21,1,1,12,7,0,5,1,2,0.32,0.3182,0.57,0.194,3,205
249,2012-12-21,1,1,12,8,0,5,1,2,0.32,0.303,0.57,0.2836,8,464
250,2012-12-21,1,1,12,9,0,5,1,2,0.32,0.2727,0.45,0.5522,2,265
