instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
251,2012-12-21,1,1,12,10,0,5,1,1,0.32,0.2879,0.42,0.4627,8,146
252,2012-12-21,1,1,12,11,0,5,1,2,0.32,0.2879,0.42,0.4179,12,150
253,2012-12-21,1,1,12,12,0,5,1,2,0.32,0.2879,0.39,0.3582,25,199
254,2012-12-21,1,1,12,13,0,5,1,2,0.32,0.2879,0.39,0.4179,26,214
255,2012-12-21,1,1,12,14,0,5,1,2,0.32,0.2879,0.39,0.4478,20,199
256,2012-12-21,1,1,12,15,0,5,1,2,0.3,0.2727,0.42,0.3881,29,234
257,2012-12-21,1,1,12,16,0,5,1,2,0.3,0.2727,0.39,0.3284,28,253
258,2012-12-21,1,1,12,17,0,5,1,2,0.26,0.2273,0.56,0.3284,24,297
259,2012-12-21,1,1,12,18,0,5,1,2,0.26,0.2273,0.56,0.2985,7,236
260,2012-12-21,1,1,12,19,0,5,1,1,0.28,0.2576,0.45,0.2985,5,148
261,2012-12-21,1,1,12,20,0,5,1,1,0.28,0.2727,0.41,0.2537,8,104
262,2012-12-21,1,1,12,21,0,5,1,1,0.26,0.2273,0.41,0.4179,2,68
263,2012-12-21,1,1,12,22,0,5,1,1,0.26,0.2273,0.44,0.2985,6,57
264,2012-12-21,1,1,12,23,0,5,1,1,0.26,0.2424,0.44,0.2836,1,39
265,2012-12-22,1,1,12,0,0,6,0,1,0.26,0.2121,0.44,0.5821,1,30
266,2012-12-22,1,1,12,1,0,6,0,1,0.26,0.2121,0.44,0.4478,1,34
267,2012-12-22,1,1,12,2,0,6,0,1,0.26,0.2121,0.44,0.5224,0,23
268,2012-12-22,1,1,12,3,0,6,0,1,0.26,0.2121,0.48,0.4478,0,7
269,2012-12-22,1,1,12,4,0,6,0,1,0.26,0.2576,0.48,0.194,3,2
270,2012-12-22,1,1,12,5,0,6,0,1,0.26,0.2273,0.48,0.4179,0,5
271,2012-12-22,1,1,12,6,0,6,0,1,0.26,0.2273,0.44,0.4179,0,13
272,2012-12-22,1,1,12,7,0,6,0,1,0.26,0.2273,0.44,0.4179,2,18
273,2012-12-22,1,1,12,8,0,6,0,1,0.26,0.2121,0.44,0.6119,0,29
274,2012-12-22,1,1,12,9,0,6,0,1,0.26,0.2273,0.48,0.3881,13,77
275,2012-12-22,1,1,12,10,0,6,0,1,0.26,0.2273,0.48,0.3284,13,105
276,2012-12-22,1,1,12,11,0,6,0,1,0.28,0.2576,0.41,0.3582,29,130
277,2012-12-22,1,1,12,12,0,6,0,1,0.3,0.2576,0.36,0.6567,18,128
278,2012-12-22,1,1,12,13,0,6,0,1,0.32,0.2879,0.36,0.4478,23,135
279,2012-12-22,1,1,12,14,0,6,0,1,0.32,0.2879,0.36,0.4627,20,141
280,2012-12-22,1,1,12,15,0,6,0,1,0.32,0.2727,0.33,0.5821,14,139
281,2012-12-22,1,1,12,16,0,6,0,1,0.3,0.2727,0.39,0.4478,23,124
282,2012-12-22,1,1,12,17,0,6,0,1,0.28,0.2576,0.41,0.2985,15,99
283,2012-12-22,1,1,12,18,0,6,0,1,0.26,0.2121,0.44,0.4627,7,75
284,2012-12-22,1,1,12,19,0,6,0,1,0.24,0.2121,0.48,0.3582,9,51
285,2012-12-22,1,1,12,20,0,6,0,1,0.24,0.2424,0.48,0.1642,6,55
286,2012-12-22,1,1,12,21,0,6,0,1,0.22,0.2121,0.51,0.2836,4,49
287,2012-12-22,1,1,12,22,0,6,0,1,0.22,0.2121,0.51,0.2836,1,38
288,2012-12-22,1,1,12,23,0,6,0,1,0.22,0.2273,0.51,0.194,3,37
289,2012-12-23,1,1,12,0,0,0,0,1,0.22,0.2121,0.47,0.2836,3,24
290,2012-12-23,1,1,12,1,0,0,0,1,0.22,0.2273,0.47,0.194,1,19
291,2012-12-23,1,1,12,2,0,0,0,1,0.2,0.2121,0.51,0.1642,1,17
292,2012-12-23,1,1,12,3,0,0,0,1,0.2,0.2121,0.51,0.1343,0,9
293,2012-12-23,1,1,12,4,0,0,0,1,0.2,0.2121,0.47,0.1343,1,3
294,2012-12-23,1,1,12,5,0,0,0,1,0.2,0.2576,0.51,0,0,6
295,2012-12-23,1,1,12,6,0,0,0,1,0.16,0.197,0.64,0.0896,4,5
296,2012-12-23,1,1,12,7,0,0,0,1,0.16,0.197,0.64,0.0896,3,16
297,2012-12-23,1,1,12,8,0,0,0,1,0.14,0.1667,0.69,0.1045,5,43
298,2012-12-23,1,1,12,9,0,0,0,1,0.2,0.2273,0.59,0.1045,7,49
299,2012-12-23,1,1,12,10,0,0,0,1,0.22,0.2273,0.64,0.194,26,67
300,2012-12-23,1,1,12,11,0,0,0,1,0.24,0.2273,0.52,0.194,48,104
301,2012-12-23,1,1,12,12,0,0,0,1,0.3,0.2879,0.42,0.194,52,144
302,2012-12-23,1,1,12,13,0,0,0,1,0.32,0.303,0.39,0.2239,63,123
303,2012-12-23,1,1,12,14,0,0,0,1,0.34,0.303,0.31,0.2985,57,118
304,2012-12-23,1,1,12,15,0,0,0,1,0.34,0.3333,0.34,0.1343,39,98
305,2012-12-23,1,1,12,16,0,0,0,1,0.34,0.3333,0.34,0.194,53,137
306,2012-12-23,1,1,12,17,0,0,0,1,0.32,0.3182,0.49,0.194,21,93
307,2012-12-23,1,1,12,18,0,0,0,1,0.3,0.303,0.45,0.1642,8,85
308,2012-12-23,1,1,12,19,0,0,0,1,0.3,0.3333,0.42,0,4,54
309,2012-12-23,1,1,12,20,0,0,0,1,0.26,0.303,0.65,0,0,52
310,2012-12-23,1,1,12,21,0,0,0,1,0.24,0.2879,0.7,0,4,38
311,2012-12-23,1,1,12,22,0,0,0,1,0.24,0.2576,0.6,0.1045,5,53
312,2012-12-23,1,1,12,23,0,0,0,1,0.24,0.2879,0.6,0,3,22
313,2012-12-24,1,1,12,0,0,1,1,1,0.22,0.2727,0.69,0,0,12
314,2012-12-24,1,1,12,1,0,1,1,1,0.22,0.2727,0.69,0,0,11
315,2012-12-24,1,1,12,2,0,1,1,1,0.2,0.2576,0.75,0,0,5
316,2012-12-24,1,1,12,3,0,1,1,1,0.2,0.2576,0.75,0,1,2
317,2012-12-24,1,1,12,5,0,1,1,1,0.18,0.197,0.8,0.1343,0,9
318,2012-12-24,1,1,12,6,0,1,1,1,0.2,0.2576,0.75,0,1,16
319,2012-12-24,1,1,12,7,0,1,1,1,0.2,0.2576,0.69,0,3,27
320,2012-12-24,1,1,12,8,0,1,1,1,0.22,0.2727,0.69,0,4,62
321,2012-12-24,1,1,12,9,0,1,1,2,0.24,0.2576,0.65,0.1045,17,68
322,2012-12-24,1,1,12,10,0,1,1,2,0.26,0.303,0.65,0,21,82
323,2012-12-24,1,1,12,11,0,1,1,2,0.26,0.2576,0.6,0.1642,20,104
324,2012-12-24,1,1,12,12,0,1,1,2,0.28,0.303,0.56,0.0896,22,113
325,2012-12-24,1,1,12,13,0,1,1,3,0.24,0.2576,0.81,0.1045,16,54
326,2012-12-24,1,1,12,14,0,1,1,3,0.24,0.2576,0.87,0.1045,13,33
327,2012-12-24,1,1,12,15,0,1,1,3,0.24,0.2273,0.87,0.2239,6,27
328,2012-12-24,1,1,12,16,0,1,1,3,0.24,0.2273,0.87,0.2239,6,27
329,2012-12-24,1,1,12,17,0,1,1,3,0.24,0.2424,0.93,0.1642,7,19
330,2012-12-24,1,1,12,18,0,1,1,3,0.24,0.2576,0.93,0.1045,6,20
331,2012-12-24,1,1,12,19,0,1,1,2,0.24,0.2424,0.93,0.1343,4,14
332,2012-12-24,1,1,12,20,0,1,1,3,0.24,0.2424,0.93,0.1343,6,17
333,2012-12-24,1,1,12,21,0,1,1,3,0.24,0.2576,0.93,0.0896,13,9
334,2012-12-24,1,1,12,22,0,1,1,2,0.24,0.2879,0.93,0,7,5
335,2012-12-24,1,1,12,23,0,1,1,3,0.24,0.2879,0.93,0,1,10
336,2012-12-25,1,1,12,0,1,2,0,3,0.24,0.2576,0.93,0.0896,3,10
337,2012-12-25,1,1,12,1,1,2,0,2,0.26,0.2576,0.87,0.1642,0,13
338,2012-12-25,1,1,12,2,1,2,0,2,0.26,0.2576,0.87,0.1642,0,7
339,2012-12-25,1,1,12,4,1,2,0,2,0.24,0.2576,0.87,0.0896,0,1
340,2012-12-25,1,1,12,5,1,2,0,2,0.22,0.2273,0.93,0.1343,2,1
341,2012-12-25,1,1,12,6,1,2,0,2,0.22,0.2273,0.93,0.1343,1,6
342,2012-12-25,1,1,12,7,1,2,0,2,0.22,0.2273,0.93,0.1642,0,6
343,2012-12-25,1,1,12,8,1,2,0,2,0.24,0.2879,0.87,0,1,10
344,2012-12-25,1,1,12,9,1,2,0,2,0.24,0.2576,0.87,0,7,21
345,2012-12-25,1,1,12,10,1,2,0,1,0.28,0.3182,0.81,0,11,21
346,2012-12-25,1,1,12,11,1,2,0,1,0.3,0.3182,0.75,0.0896,43,43
347,2012-12-25,1,1,12,12,1,2,0,1,0.32,0.3333,0.76,0.0896,62,52
348,2012-12-25,1,1,12,13,1,2,0,1,0.4,0.4091,0.5,0.3284,75,46
349,2012-12-25,1,1,12,14,1,2,0,1,0.38,0.3939,0.46,0.2985,58,68
350,2012-12-25,1,1,12,15,1,2,0,1,0.36,0.3333,0.5,0.2537,51,56
351,2012-12-25,1,1,12,16,1,2,0,2,0.36,0.3333,0.5,0.2537,48,38
352,2012-12-25,1,1,12,17,1,2,0,2,0.32,0.303,0.57,0.2537,16,34
353,2012-12-25,1,1,12,18,1,2,0,2,0.32,0.303,0.66,0.2537,20,23
354,2012-12-25,1,1,12,19,1,2,0,2,0.32,0.303,0.66,0.2239,16,20
355,2012-12-25,1,1,12,20,1,2,0,2,0.32,0.303,0.66,0.2836,11,29
356,2012-12-25,1,1,12,21,1,2,0,2,0.3,0.2879,0.65,0.194,8,26
357,2012-12-25,1,1,12,22,1,2,0,2,0.3,0.303,0.7,0.1642,3,16
358,2012-12-25,1,1,12,23,1,2,0,2,0.28,0.2727,0.65,0.2537,4,26
359,2012-12-26,1,1,12,0,0,3,1,2,0.28,0.2727,0.65,0.2537,1,8
360,2012-12-26,1,1,12,1,0,3,1,2,0.26,0.2273,0.65,0.2985,0,7
361,2012-12-26,1,1,12,2,0,3,1,2,0.26,0.2273,0.65,0.2985,0,1
362,2012-12-26,1,1,12,3,0,3,1,2,0.24,0.2121,0.7,0.3582,0,2
363,2012-12-26,1,1,12,4,0,3,1,1,0.22,0.197,0.69,0.3582,0,2
364,2012-12-26,1,1,12,5,0,3,1,2,0.22,0.2121,0.69,0.2836,0,11
365,2012-12-26,1,1,12,6,0,3,1,2,0.22,0.2121,0.69,0.2239,0,36
366,2012-12-26,1,1,12,7,0,3,1,3,0.2,0.1818,0.86,0.3284,0,26
367,2012-12-26,1,1,12,8,0,3,1,3,0.2,0.1818,0.86,0.3284,0,31
368,2012-12-26,1,1,12,9,0,3,1,3,0.2,0.1818,0.86,0.3284,1,22
369,2012-12-26,1,1,12,10,0,3,1,3,0.2,0.1818,0.86,0.2985,0,8
370,2012-12-26,1,1,12,11,0,3,1,3,0.2,0.1667,0.86,0.4627,0,10
371,2012-12-26,1,1,12,12,0,3,1,3,0.22,0.197,0.87,0.3284,0,10
372,2012-12-26,1,1,12,13,0,3,1,3,0.22,0.197,0.87,0.3284,0,15
373,2012-12-26,1,1,12,14,0,3,1,3,0.22,0.2121,0.93,0.2537,0,20
374,2012-12-26,1,1,12,15,0,3,1,3,0.26,0.2273,0.87,0.3582,0,13
375,2012-12-26,1,1,12,16,0,3,1,3,0.26,0.2273,0.87,0.3582,0,13
376,2012-12-26,1,1,12,17,0,3,1,3,0.26,0.2273,0.93,0.3582,2,51
377,2012-12-26,1,1,12,18,0,3,1,3,0.28,0.2576,0.93,0.2985,1,42
378,2012-12-26,1,1,12,19,0,3,1,3,0.3,0.2879,0.87,0.194,2,33
379,2012-12-26,1,1,12,20,0,3,1,3,0.32,0.303,0.93,0.2537,0,32
380,2012-12-26,1,1,12,21,0,3,1,2,0.3,0.2727,0.87,0.2985,0,20
381,2012-12-26,1,1,12,22,0,3,1,3,0.24,0.197,0.93,0.4478,0,11
382,2012-12-26,1,1,12,23,0,3,1,3,0.26,0.2273,0.87,0.2985,2,8
383,2012-12-27,1,1,12,0,0,4,1,3,0.26,0.2273,0.87,0.2985,0,3
384,2012-12-27,1,1,12,1,0,4,1,3,0.24,0.197,0.93,0.4478,0,5
385,2012-12-27,1,1,12,2,0,4,1,2,0.24,0.197,0.87,0.4478,0,2
386,2012-12-27,1,1,12,3,0,4,1,2,0.24,0.2273,0.87,0.2239,0,1
387,2012-12-27,1,1,12,4,0,4,1,2,0.24,0.2121,0.87,0.3284,0,3
388,2012-12-27,1,1,12,5,0,4,1,1,0.24,0.2424,0.75,0.1642,1,10
389,2012-12-27,1,1,12,6,0,4,1,1,0.24,0.197,0.7,0.4925,0,45
390,2012-12-27,1,1,12,7,0,4,1,1,0.24,0.2273,0.7,0.2239,0,90
391,2012-12-27,1,1,12,8,0,4,1,1,0.26,0.2273,0.65,0.3582,2,206
392,2012-12-27,1,1,12,9,0,4,1,1,0.26,0.2121,0.6,0.4925,6,127
393,2012-12-27,1,1,12,10,0,4,1,1,0.28,0.2273,0.56,0.5224,8,67
394,2012-12-27,1,1,12,11,0,4,1,2,0.28,0.2424,0.56,0.4478,23,80
395,2012-12-27,1,1,12,12,0,4,1,1,0.3,0.2727,0.49,0.4627,22,87
396,2012-12-27,1,1,12,13,0,4,1,1,0.3,0.2727,0.49,0.4627,19,99
397,2012-12-27,1,1,12,14,0,4,1,2,0.26,0.2121,0.56,0.5224,25,94
398,2012-12-27,1,1,12,15,0,4,1,2,0.26,0.2121,0.56,0.4478,31,89
399,2012-12-27,1,1,12,16,0,4,1,2,0.26,0.2424,0.52,0.2836,23,151
400,2012-12-27,1,1,12,17,0,4,1,2,0.26,0.2424,0.52,0.2836,30,227
401,2012-12-27,1,1,12,18,0,4,1,2,0.24,0.2273,0.6,0.2537,9,188
402,2012-12-27,1,1,12,19,0,4,1,1,0.24,0.2121,0.6,0.2836,11,106
403,2012-12-27,1,1,12,20,0,4,1,1,0.24,0.2424,0.6,0.1642,12,79
404,2012-12-27,1,1,12,21,0,4,1,2,0.24,0.2273,0.6,0.2537,12,51
405,2012-12-27,1,1,12,22,0,4,1,2,0.24,0.2121,0.6,0.2836,11,33
406,2012-12-27,1,1,12,23,0,4,1,2,0.24,0.2273,0.6,0.2537,2,24
407,2012-12-28,1,1,12,0,0,5,1,2,0.24,0.2424,0.6,0.1642,3,22
408,2012-12-28,1,1,12,1,0,5,1,1,0.24,0.2273,0.6,0.194,0,9
409,2012-12-28,1,1,12,2,0,5,1,1,0.24,0.2273,0.6,0.2537,0,5
410,2012-12-28,1,1,12,3,0,5,1,2,0.24,0.2424,0.6,0.1642,0,2
411,2012-12-28,1,1,12,4,0,5,1,2,0.24,0.2576,0.6,0.1045,0,4
412,2012-12-28,1,1,12,5,0,5,1,2,0.24,0.2576,0.6,0.0896,0,15
413,2012-12-28,1,1,12,6,0,5,1,1,0.22,0.2121,0.64,0.2836,2,49
414,2012-12-28,1,1,12,7,0,5,1,1,0.22,0.2273,0.64,0.1642,1,111
415,2012-12-28,1,1,12,8,0,5,1,2,0.24,0.2424,0.6,0.1343,1,238
416,2012-12-28,1,1,12,9,0,5,1,2,0.24,0.2121,0.6,0.2836,18,173
417,2012-12-28,1,1,12,10,0,5,1,2,0.26,0.2424,0.56,0.2537,77,85
418,2012-12-28,1,1,12,11,0,5,1,2,0.28,0.2727,0.52,0.2239,71,107
419,2012-12-28,1,1,12,12,0,5,1,2,0.3,0.303,0.49,0.1343,72,150
420,2012-12-28,1,1,12,13,0,5,1,2,0.3,0.303,0.49,0.1343,76,146
421,2012-12-28,1,1,12,14,0,5,1,2,0.3,0.303,0.49,0.1343,84,177
422,2012-12-28,1,1,12,15,0,5,1,2,0.3,0.3182,0.49,0,74,151
423,2012-12-28,1,1,12,16,0,5,1,1,0.3,0.303,0.49,0.1343,42,208
424,2012-12-28,1,1,12,17,0,5,1,1,0.24,0.2424,0.6,0.1343,43,228
425,2012-12-28,1,1,12,18,0,5,1,1,0.24,0.2424,0.6,0.1343,16,197
426,2012-12-28,1,1,12,19,0,5,1,2,0.24,0.2273,0.65,0.194,15,113
427,2012-12-28,1,1,12,20,0,5,1,2,0.24,0.2576,0.65,0.1045,14,83
428,2012-12-28,1,1,12,21,0,5,1,2,0.24,0.2424,0.7,0.1343,17,75
429,2012-12-28,1,1,12,22,0,5,1,2,0.24,0.2576,0.7,0.0896,13,49
430,2012-12-28,1,1,12,23,0,5,1,2,0.24,0.2576,0.65,0.0896,5,54
431,2012-12-29,1,1,12,0,0,6,0,2,0.24,0.2424,0.7,0,1,25
432,2012-12-29,1,1,12,1,0,6,0,2,0.24,0.2424,0.75,0.0896,6,31
433,2012-12-29,1,1,12,2,0,6,0,2,0.24,0.2424,0.7,0,1,18
434,2012-12-29,1,1,12,3,0,6,0,2,0.24,0.2424,0.75,0,1,5
435,2012-12-29,1,1,12,4,0,6,0,2,0.24,0.2424,0.75,0.0896,0,3
436,2012-12-29,1,1,12,5,0,6,0,2,0.24,0.2424,0.75,0.0896,0,3
437,2012-12-29,1,1,12,6,0,6,0,2,0.26,0.2424,0.7,0.1045,0,7
438,2012-12-29,1,1,12,7,0,6,0,2,0.26,0.2424,0.7,0.1343,1,17
439,2012-12-29,1,1,12,8,0,6,0,2,0.26,0.2424,0.81,0,9,35
440,2012-12-29,1,1,12,9,0,6,0,2,0.26,0.2424,0.81,0,16,33
441,2012-12-29,1,1,12,10,0,6,0,3,0.26,0.2424,0.81,0.1343,6,35
442,2012-12-29,1,1,12,11,0,6,0,3,0.2,0.2424,0.93,0.0896,7,38
443,2012-12-29,1,1,12,12,0,6,0,3,0.2,0.2424,1,0,5,43
444,2012-12-29,1,1,12,13,0,6,0,3,0.2,0.2424,1,0,13,71
445,2012-12-29,1,1,12,14,0,6,0,2,0.24,0.2424,0.87,0.0896,10,88
446,2012-12-29,1,1,12,15,0,6,0,2,0.24,0.2424,0.87,0,19,110
447,2012-12-29,1,1,12,16,0,6,0,1,0.3,0.2424,0.75,0.1045,22,125
448,2012-12-29,1,1,12,17,0,6,0,1,0.26,0.2424,0.79,0.1045,18,100
449,2012-12-29,1,1,12,18,0,6,0,1,0.3,0.2424,0.7,0.194,8,102
450,2012-12-29,1,1,12,19,0,6,0,2,0.3,0.2424,0.61,0.2537,7,90
451,2012-12-29,1,1,12,20,0,6,0,2,0.3,0.2424,0.56,0.5522,2,64
452,2012-12-29,1,1,12,21,0,6,0,2,0.28,0.2424,0.56,0.4925,4,56
453,2012-12-29,1,1,12,22,0,6,0,2,0.26,0.2424,0.6,0.4627,3,51
454,2012-12-29,1,1,12,23,0,6,0,2,0.26,0.2424,0.6,0,0,32
455,2012-12-30,1,1,12,0,0,0,0,2,0.26,0.2576,0.6,0.1642,0,41
456,2012-12-30,1,1,12,1,0,0,0,2,0.26,0.2273,0.56,0.4179,1,27
457,2012-12-30,1,1,12,2,0,0,0,2,0.26,0.2424,0.56,0.2836,0,19
458,2012-12-30,1,1,12,3,0,0,0,2,0.26,0.2273,0.56,0.4179,1,14
459,2012-12-30,1,1,12,4,0,0,0,2,0.26,0.2576,0.56,0.2239,0,7
460,2012-12-30,1,1,12,5,0,0,0,2,0.26,0.2273,0.48,0.2985,0,2
461,2012-12-30,1,1,12,6,0,0,0,2,0.24,0.197,0.52,0.4179,1,7
462,2012-12-30,1,1,12,7,0,0,0,1,0.24,0.2121,0.56,0.3582,0,13
463,2012-12-30,1,1,12,8,0,0,0,1,0.24,0.197,0.52,0.4627,1,32
464,2012-12-30,1,1,12,9,0,0,0,1,0.24,0.2121,0.52,0.3881,9,65
465,2012-12-30,1,1,12,10,0,0,0,1,0.26,0.2121,0.41,0.5821,31,91
466,2012-12-30,1,1,12,11,0,0,0,1,0.26,0.2273,0.41,0.4179,33,103
467,2012-12-30,1,1,12,12,0,0,0,1,0.28,0.2273,0.36,0.5821,47,97
468,2012-12-30,1,1,12,13,0,0,0,1,0.3,0.2576,0.36,0.6567,49,120
469,2012-12-30,1,1,12,14,0,0,0,1,0.3,0.2727,0.36,0.4627,39,121
470,2012-12-30,1,1,12,15,0,0,0,1,0.28,0.2576,0.38,0.3284,37,101
471,2012-12-30,1,1,12,16,0,0,0,1,0.28,0.2424,0.38,0.4179,31,102
472,2012-12-30,1,1,12,17,0,0,0,1,0.26,0.2273,0.41,0.3284,26,97
473,2012-12-30,1,1,12,18,0,0,0,2,0.24,0.2121,0.44,0.2985,12,113
474,2012-12-30,1,1,12,19,0,0,0,1,0.34,0.3636,0.61,0,16,86
475,2012-12-30,1,1,12,20,0,0,0,1,0.22,0.197,0.47,0.3284,9,63
476,2012-12-30,1,1,12,21,0,0,0,1,0.2,0.2121,0.51,0.1642,5,42
477,2012-12-30,1,1,12,22,0,0,0,1,0.2,0.197,0.55,0.194,6,30
478,2012-12-30,1,1,12,23,0,0,0,1,0.2,0.197,0.51,0.2239,10,39
479,2012-12-31,1,1,12,0,0,1,1,1,0.18,0.1818,0.55,0.194,4,30
480,2012-12-31,1,1,12,1,0,1,1,1,0.18,0.1818,0.55,0.194,6,13
481,2012-12-31,1,1,12,2,0,1,1,1,0.16,0.1667,0.59,0.1642,3,8
482,2012-12-31,1,1,12,3,0,1,1,1,0.16,0.1818,0.59,0.1045,0,1
483,2012-12-31,1,1,12,4,0,1,1,1,0.14,0.1667,0.69,0.1045,0,3
484,2012-12-31,1,1,12,5,0,1,1,1,0.16,0.1515,0.64,0.194,0,9
485,2012-12-31,1,1,12,6,0,1,1,1,0.16,0.1667,0.64,0.1642,0,40
486,2012-12-31,1,1,12,7,0,1,1,1,0.16,0.1818,0.64,0.1343,2,83
487,2012-12-31,1,1,12,8,0,1,1,1,0.14,0.1515,0.69,0.1343,9,187
488,2012-12-31,1,1,12,9,0,1,1,2,0.18,0.2121,0.64,0.1045,13,144
489,2012-12-31,1,1,12,10,0,1,1,2,0.2,0.2121,0.69,0.1343,33,87
490,2012-12-31,1,1,12,11,0,1,1,2,0.22,0.2273,0.6,0.194,43,114
491,2012-12-31,1,1,12,12,0,1,1,2,0.24,0.2273,0.56,0.194,52,172
492,2012-12-31,1,1,12,13,0,1,1,2,0.26,0.2576,0.44,0.1642,38,165
493,2012-12-31,1,1,12,14,0,1,1,2,0.28,0.2727,0.45,0.2239,62,185
494,2012-12-31,1,1,12,15,0,1,1,2,0.28,0.2879,0.45,0.1343,69,246
495,2012-12-31,1,1,12,16,0,1,1,2,0.26,0.2576,0.48,0.194,30,184
496,2012-12-31,1,1,12,17,0,1,1,2,0.26,0.2879,0.48,0.0896,14,150
497,2012-12-31,1,1,12,18,0,1,1,2,0.26,0.2727,0.48,0.1343,10,112
498,2012-12-31,1,1,12,19,0,1,1,2,0.26,0.2576,0.6,0.1642,11,108
499,2012-12-31,1,1,12,20,0,1,1,2,0.26,0.2576,0.6,0.1642,8,81
500,2012-12-31,1,1,12,21,0,1,1,1,0.26,0.2576,0.6,0.1642,7,83
501,2012-12-31,1,1,12,22,0,1,1,1,0.26,0.2727,0.56,0.1343,13,48
502,2012-12-31,1,1,12,23,0,1,1,1,0.26,0.2727,0.65,0.1343,12,37
